number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,average price,special requests,booking status
2,0,0,4,Meal Plan 1,0,Room_Type 1,48,Offline,75,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,101.5,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,9,Online,160,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,104,Online,110.1,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,101,Online,63.75,1,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,8,Online,142.67,0,Canceled
2,1,0,3,Meal Plan 1,0,Room_Type 1,105,Online,143.1,0,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,57,Online,63.55,1,Not_Canceled
3,0,2,6,Meal Plan 1,0,Room_Type 1,132,Offline,96.9,1,Not_Canceled
1,0,1,3,Meal Plan 2,0,Room_Type 1,210,Online,0,0,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 4,16,Corporate,76,0,Not_Canceled
1,0,2,4,Meal Plan 1,0,Room_Type 1,69,Offline,120,0,Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 1,36,Offline,112,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,279,Online,73.95,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,3,Corporate,120,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,68,Offline,65,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,86,Offline,105,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,69,Online,105.3,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,292,Online,115,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,64,Corporate,140,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,213,Offline,130,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,1,Online,77.77,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,12,Online,95.48,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 2,81,Online,66.37,2,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,148,Offline,67,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,151,Offline,70,0,Not_Canceled
2,1,0,2,Meal Plan 1,0,Room_Type 1,45,Online,134.1,1,Not_Canceled
2,1,2,2,Meal Plan 1,0,Room_Type 1,122,Online,113.78,1,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,275,Offline,90,0,Canceled
2,1,0,5,Meal Plan 2,0,Room_Type 1,21,Online,115.55,3,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,265,Offline,115,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,141,Online,104.55,1,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 5,19,Online,151.2,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,193,Online,126.9,0,Canceled
2,1,1,1,Meal Plan 1,0,Room_Type 5,8,Offline,173.8,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,2,Online,103,1,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,8,Online,101,1,Not_Canceled
2,1,0,1,Meal Plan 1,1,Room_Type 4,1,Online,155,2,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,42,Online,118.8,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Corporate,89,0,Not_Canceled
2,2,2,4,Meal Plan 1,0,Room_Type 6,22,Online,224,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 5,112,Offline,92.65,2,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,70,Online,89.25,0,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,19,Offline,80,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,109,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,45,Online,96.9,2,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Aviation,79,0,Not_Canceled
3,0,0,2,Meal Plan 1,0,Room_Type 4,41,Online,159.3,0,Canceled
2,0,1,1,Not Selected,0,Room_Type 1,24,Online,139,1,Not_Canceled
2,1,0,3,Meal Plan 1,0,Room_Type 1,81,Online,143.1,2,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,60,Online,108.9,1,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,58,Online,99.45,0,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 4,229,Online,128.7,0,Canceled
2,0,2,4,Not Selected,0,Room_Type 1,332,Online,63.75,3,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,99,Online,103.5,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2,Corporate,66,0,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,59,Online,99.85,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,83,Online,105.3,2,Not_Canceled
3,0,0,2,Meal Plan 1,0,Room_Type 4,29,Online,201.25,3,Not_Canceled
1,0,2,4,Meal Plan 1,0,Room_Type 1,69,Offline,120,0,Canceled
0,2,2,2,Meal Plan 1,0,Room_Type 2,62,Online,96.23,0,Canceled
2,0,1,2,Not Selected,0,Room_Type 1,69,Offline,85,0,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,120,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,118,Online,87.3,1,Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,22,Online,105,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,148,Offline,88.12,0,Not_Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,212,Online,81.77,0,Canceled
2,0,2,2,Meal Plan 1,1,Room_Type 1,169,Online,118.25,2,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,37,Online,94.18,2,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,92,Online,96.3,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,118,Offline,63.75,0,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,4,Corporate,65,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,1,Online,89,1,Not_Canceled
2,0,1,1,Meal Plan 2,0,Room_Type 1,117,Online,127.8,1,Canceled
2,0,1,1,Not Selected,0,Room_Type 1,8,Online,80.75,1,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,5,Online,167,0,Canceled
2,0,1,2,Meal Plan 1,1,Room_Type 4,46,Online,98.3,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,119,Offline,110,0,Not_Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 4,63,Online,111.6,1,Not_Canceled
2,0,2,2,Not Selected,0,Room_Type 1,158,Online,89.25,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,64,Online,143.4,1,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,25,Offline,87,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,4,Corporate,40,0,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,15,Online,79,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,183,Online,93.5,1,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,199,Online,74.8,1,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,78,Online,100,0,Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,1,Offline,60,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,196,Offline,80.75,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,42,Online,88.2,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,209,Online,89.2,0,Canceled
3,0,1,0,Meal Plan 2,0,Room_Type 4,21,Online,210.6,0,Canceled
3,0,0,1,Meal Plan 1,0,Room_Type 4,171,Online,128.7,2,Canceled
2,2,1,1,Meal Plan 1,0,Room_Type 6,35,Online,179.01,0,Canceled
2,0,2,6,Meal Plan 2,0,Room_Type 1,107,Online,140.25,1,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 4,169,Online,137.7,1,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,9,Online,140,1,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,308,Online,78.3,2,Canceled
2,0,3,5,Meal Plan 1,0,Room_Type 4,5,Online,126.75,0,Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 1,115,Online,68,2,Canceled
2,0,1,0,Meal Plan 1,1,Room_Type 7,2,Complementary,0,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,120,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,74,Online,88.4,2,Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,257,Offline,80,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,211,Offline,100,0,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,80,Online,88.4,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2,Online,101,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,57,Online,88.4,1,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,91,Online,70.14,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,105,Online,75,0,Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 4,33,Online,154.8,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,276,Offline,95.67,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,41,Online,65.02,0,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,91,Offline,75,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,81,Online,89.25,2,Not_Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,117,Offline,94.5,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,4,Online,69.5,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,43,Offline,60,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,48,Online,115.5,2,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,170,Online,112.2,1,Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 1,34,Online,224.67,0,Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,131,Offline,94.5,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,3,Online,163.67,0,Canceled
1,0,1,4,Meal Plan 1,0,Room_Type 1,191,Online,86.75,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,181,Offline,120,0,Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,93,Online,115,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,259,Offline,90,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,15,Online,88.8,0,Canceled
2,0,1,3,Not Selected,0,Room_Type 1,63,Online,63.75,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,159,Online,119.85,1,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,278,Online,73.95,0,Canceled
2,0,2,4,Not Selected,0,Room_Type 1,133,Online,74.8,2,Canceled
2,0,3,6,Not Selected,0,Room_Type 1,314,Online,68.66,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,49,Offline,85.5,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,216,Online,96.3,2,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,3,Online,139,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,182,Online,96.3,2,Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,57,Online,127.8,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Offline,130,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,50,Online,72.75,1,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,39,Online,114.41,2,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,182,Online,70.44,2,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,16,Online,121,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,109,Online,129.6,0,Canceled
2,0,1,3,Meal Plan 1,1,Room_Type 1,151,Online,110.58,1,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,0,Online,79,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,69,Online,126.9,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,79,Online,88.4,1,Not_Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,5,Offline,47.25,0,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 4,167,Online,104.4,1,Canceled
2,0,2,3,Not Selected,0,Room_Type 1,95,Offline,59.5,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,94,Online,72.25,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,28,Corporate,109,0,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,14,Online,94.35,0,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,71,Online,63.49,1,Not_Canceled
2,0,2,2,Not Selected,0,Room_Type 1,44,Online,74.8,1,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,88,Offline,80.75,0,Canceled
1,0,1,0,Not Selected,0,Room_Type 1,131,Online,108,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,11,Online,130,1,Canceled
2,0,2,4,Not Selected,0,Room_Type 1,15,Online,88,0,Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,161,Offline,130,0,Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 1,34,Offline,224.67,0,Canceled
2,0,1,3,Not Selected,0,Room_Type 1,5,Online,69.1,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,5,Online,119,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,41,Offline,85.5,0,Not_Canceled
2,0,0,4,Meal Plan 2,0,Room_Type 1,296,Offline,117,0,Canceled
2,1,2,3,Meal Plan 1,0,Room_Type 1,56,Online,115.09,2,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,102,Offline,109,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2,Online,141,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,283,Online,69.38,1,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,14,Online,80,1,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,124,Online,94.5,1,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,433,Offline,70,0,Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,124,Offline,94.5,0,Canceled
1,0,1,1,Meal Plan 1,1,Room_Type 1,20,Corporate,79,1,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 2,111,Online,76.97,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,92,Online,76.5,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,104,Online,126.9,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,73,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,256,Online,100.75,0,Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 1,34,Offline,224.67,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,81,Offline,65,0,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,0,Online,78.42,0,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,88,Online,134.1,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,267,Offline,95,0,Canceled
0,2,2,5,Meal Plan 1,0,Room_Type 2,255,Online,72,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 2,238,Online,96.48,2,Canceled
2,2,2,3,Meal Plan 1,0,Room_Type 6,59,Online,147.9,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,101.5,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,78,Online,100,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,159,Offline,144,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,106,Online,131.4,2,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,256,Online,124,1,Canceled
2,0,0,1,Not Selected,1,Room_Type 1,5,Online,127,2,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,141,Offline,80,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Online,135,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,275,Online,106.2,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,50,Online,90.9,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,105,Online,62.86,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,275,Offline,90,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,4,Online,87,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,120,0,Not_Canceled
1,0,1,0,Not Selected,0,Room_Type 1,12,Online,129,0,Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,1,Offline,60,0,Canceled
2,0,1,2,Not Selected,0,Room_Type 1,56,Online,107.1,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,41,Offline,85,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,213,Offline,130,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,86,Corporate,100,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,21,Online,76,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,213,Offline,130,0,Canceled
2,0,1,2,Meal Plan 1,1,Room_Type 1,0,Online,115,0,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,177,Online,82.88,0,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,4,Online,114.73,2,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,87,Online,74.15,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Complementary,0,0,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,173,Online,85.5,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,17,Online,121.75,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,131,Online,103.5,1,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,74,Offline,87,0,Not_Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 1,209,Online,127.8,2,Canceled
1,0,1,2,Not Selected,0,Room_Type 1,12,Online,134.75,1,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,292,Offline,90,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,95,Online,65.83,1,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,219,Offline,76.67,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,58,Offline,81,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,45,Online,93.6,1,Not_Canceled
2,0,1,4,Meal Plan 2,0,Room_Type 1,187,Online,152.15,2,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,71,Online,132.6,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,180,Offline,70,0,Canceled
2,1,1,3,Meal Plan 1,0,Room_Type 4,38,Online,118.8,0,Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,104,0,Not_Canceled
2,0,2,3,Not Selected,0,Room_Type 1,117,Online,105.74,1,Not_Canceled
2,2,2,4,Meal Plan 1,0,Room_Type 6,62,Online,207.9,1,Not_Canceled
1,1,2,2,Meal Plan 1,0,Room_Type 1,68,Offline,79.56,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 4,123,Online,117.3,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,39,Online,149.4,0,Canceled
3,0,2,0,Meal Plan 1,0,Room_Type 4,171,Online,123.3,1,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,1,Online,98,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,3,Offline,95,0,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,3,Corporate,65,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,9,Online,97.02,1,Not_Canceled
2,1,2,1,Meal Plan 1,0,Room_Type 4,125,Online,101.49,2,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,268,Online,95.4,0,Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 1,6,Online,137,0,Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 4,120,Online,140.4,0,Canceled
2,1,1,3,Meal Plan 2,0,Room_Type 1,100,Online,132.08,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,27,Offline,108,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,4,Online,121.6,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,55,Online,126.9,1,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,18,Online,129,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,279,Offline,110,0,Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 4,79,Online,126,2,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 4,0,Online,97,0,Not_Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 4,128,Online,132.3,0,Canceled
2,0,0,2,Not Selected,0,Room_Type 1,29,Offline,67.5,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,51,Online,75.95,1,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,103,Online,83.66,1,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 4,11,Corporate,90,0,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,19,Offline,80,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,109,0,Not_Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 4,116,Offline,96.56,0,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,219,Offline,76.67,0,Not_Canceled
2,0,2,5,Meal Plan 2,0,Room_Type 1,5,Offline,100,1,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,30,Online,117.9,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,275,Offline,62.8,0,Canceled
1,0,1,4,Meal Plan 1,0,Room_Type 1,89,Online,68,1,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,21,Offline,95,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,216,Online,96.3,1,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,317,Online,120,0,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,74,Online,88.4,3,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,35,Offline,85,0,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,46,Online,79.2,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,130,Online,118.8,1,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,50,Online,89.1,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,273,Offline,95,0,Canceled
2,0,0,4,Not Selected,0,Room_Type 1,78,Online,62.18,0,Canceled
3,0,0,4,Meal Plan 1,0,Room_Type 4,19,Online,187,0,Not_Canceled
3,0,2,1,Meal Plan 2,0,Room_Type 1,3,Offline,138.5,1,Not_Canceled
3,0,1,3,Meal Plan 1,0,Room_Type 4,134,Online,115.6,2,Canceled
2,0,1,3,Not Selected,0,Room_Type 1,213,Online,80.75,0,Canceled
1,0,2,4,Meal Plan 1,0,Room_Type 1,245,Online,110,0,Canceled
1,0,0,1,Meal Plan 1,1,Room_Type 1,2,Corporate,67,1,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,57,Offline,75.33,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,16,Online,89.89,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,80,Online,135.9,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,275,Offline,62.8,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,52,Online,126.9,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,86,Online,95.85,1,Not_Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 1,116,Online,109.25,1,Not_Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,66,Online,150.3,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,213,Offline,130,0,Canceled
3,0,2,5,Meal Plan 1,0,Room_Type 4,84,Online,151.59,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2,Online,91,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,163,Offline,100.8,0,Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,11,Online,150,1,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,189,Online,109.8,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,317,Offline,120,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Offline,130,0,Canceled
2,2,0,4,Meal Plan 1,0,Room_Type 6,33,Online,159.75,2,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,96,Online,68,1,Canceled
1,0,1,1,Meal Plan 2,0,Room_Type 1,301,Offline,90,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,105,Offline,75,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,11,Online,103,2,Not_Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 4,184,Online,115.32,1,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,58,Online,121.56,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,35,Online,76.5,1,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,159,Online,130.14,2,Canceled
2,2,0,3,Meal Plan 1,0,Room_Type 7,1,Online,209.1,2,Not_Canceled
2,0,1,1,Meal Plan 2,0,Room_Type 1,247,Offline,109,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,0,Online,90,0,Canceled
2,0,1,3,Not Selected,0,Room_Type 1,240,Online,80.75,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 2,284,Online,81.82,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,49,Online,135.9,1,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,0,Online,62.73,0,Not_Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,62,Online,143.1,0,Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,107,Online,124.2,1,Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,55,Online,123.3,2,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,221,Offline,71.28,0,Not_Canceled
